;occupancy;co2;noise;humidity;temperature;room
2019-11-26 05:30:00+00:00;0;419,9636027;50,06777763;44,50338872;21,04950015;5
2019-11-26 06:00:00+00:00;0;421,2833252;50,41448275;43,22154045;21,48342737;5
2019-11-26 06:30:00+00:00;0;418,3072815;51,54335213;42,72555161;21,75551542;5
2019-11-26 07:00:00+00:00;0;416,7111155;50,93722153;42,39211146;21,97250017;5
2019-11-26 07:30:00+00:00;1;417,585439;52,50511932;42,32183711;22,13453547;5
2019-11-26 08:00:00+00:00;0;415,7768199;50,47444471;42,25594393;22,30055523;5
2019-11-26 08:30:00+00:00;0;412,6944427;50,73898506;42,69493167;22,218201;5
2019-11-26 09:00:00+00:00;0;415,5003967;52,22360166;43,78714816;21,96973387;5
2019-11-26 09:30:00+00:00;1;441,4000041;58,86888885;45,05450058;22,07188861;5
2019-11-26 10:00:00+00:00;1;438,7693481;60,59216499;46,3931853;22,033734;5
2019-11-26 10:30:00+00:00;1;458,1710663;56,65555445;48,08005524;21,97950013;5
2019-11-26 11:00:00+00:00;1;581,450002;56,44806417;47,80661774;21,83350945;5
2019-11-26 11:30:00+00:00;1;713,1463623;54,65333366;46,63788986;21,95505524;5
2019-11-26 12:00:00+00:00;0;828,2111104;52,49764379;47,22174199;21,79279868;5
2019-11-26 12:30:00+00:00;1;773,1323751;53,37444496;46,72050794;22,03000228;5
2019-11-26 13:00:00+00:00;1;595,6666565;55,26166598;47,34144402;22,20949968;5
2019-11-26 13:30:00+00:00;1;581,7670593;56,90027746;48,17025375;22,2979962;5
2019-11-26 14:00:00+00:00;0;585,7672323;54,38722293;47,46638807;21,93327808;5
2019-11-26 14:30:00+00:00;1;678,9777832;53,43513425;47,54124324;21,8690478;5
2019-11-26 15:00:00+00:00;1;855,5801493;54,6916097;46,64044253;21,99043465;5
2019-11-26 15:30:00+00:00;1;663,3444417;55,77166684;46,88544401;21,84522216;5
2019-11-26 16:00:00+00:00;1;655,5620626;55,56343015;47,92344856;21,71779156;5
2019-11-26 16:30:00+00:00;0;591,0645447;52,96277809;47,73250071;21,711778;5
2019-11-26 17:00:00+00:00;0;568,9611206;55,41660881;47,22900963;21,81624158;5
2019-11-26 17:30:00+00:00;0;624,0486654;52,6766669;47,47938855;21,76883316;5
2019-11-26 18:00:00+00:00;0;604,8888855;52,68097687;48,13561503;21,40885448;5
2019-11-26 18:30:00+00:00;0;550,2932943;50,49844869;48,33603986;21,32180087;5
2019-11-26 19:00:00+00:00;0;542,1999919;51,69499906;48,46744474;21,28905551;5
2019-11-26 19:30:00+00:00;0;502,7687785;57,63879331;48,87108676;21,31085459;5
2019-11-26 20:00:00+00:00;0;484,7637889;55,62555567;49,03677813;21,4615558;5
2019-11-26 20:30:00+00:00;0;467,9944458;50,60193761;48,98200162;21,51769574;5
2019-11-26 21:00:00+00:00;0;489,9913788;48,70356305;49,49711672;21,37412453;5
2019-11-26 21:30:00+00:00;0;521,9610952;48,74722163;49,53533363;21,41394456;5
2019-11-26 22:00:00+00:00;0;513,0470886;48,86806488;49,5606842;21,45286401;5
2019-11-26 22:30:00+00:00;0;487,0310313;48,80055555;49,67561213;21,44961103;5
2019-11-26 23:00:00+00:00;0;464,5666707;48,65854454;49,64676793;21,44054222;5
2019-11-26 23:30:00+00:00;0;442,6760559;48,61888885;49,67094421;21,35977745;5
2019-11-27 00:00:00+00:00;0;423,8944448;48,60452143;49,75411987;21,28843244;5
2019-11-27 00:30:00+00:00;0;416,4674327;48,56835175;49,63894653;21,30347697;5
2019-11-27 01:00:00+00:00;0;414,8777771;48,62277794;49,55955505;21,30433337;5
2019-11-27 01:30:00+00:00;0;408,3045959;48,66210683;49,34564972;21,36472034;5
2019-11-27 02:00:00+00:00;0;408,3697357;48,60055606;49,32011159;21,35027758;5
2019-11-27 02:30:00+00:00;0;409,4555613;48,5789458;49,26215172;21,33869553;5
2019-11-27 03:00:00+00:00;0;406,7620697;48,57453982;49,22746023;21,31616847;5
2019-11-27 03:30:00+00:00;0;403,3555552;48,58833249;49,10311063;21,32905547;5
